Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/


"Crime reported by Madison Police Dept, Alabama"

,,,Number of offenses reported,,,,,,,,,,,
,,,Violent crime,,,,,,Property crime,,,,,

Year,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,
1985,12,       4563,          33,           0,           0,,           3,          30,         265,          85,         161,          19
1986,12,       5038,          42,           0,           1,,           5,          36,         309,          99,         202,           8
1987,12,       5914,          37,           1,           2,,           6,          28,         440,         106,         321,          13
1988,11,       5877,          22,           0,           2,,           3,          17,         443,          97,         323,          23
1989,12,       7485,          38,           0,           0,,           4,          34,         486,          96,         368,          22
1990,12,      14904,          26,           1,           0,,           0,          25,         413,          64,         327,          22
1991,12,      15082,          41,           0,           1,,           7,          33,         360,          69,         273,          18
1992,12,      15255,          57,           0,           6,,           9,          42,         486,          87,         378,          21
1993,12,      17759,          42,           0,           2,,           7,          33,         413,          73,         309,          31
1994,12,      17894,          43,           1,           5,,           8,          29,         549,          82,         437,          30
1995,12,      20404,          38,           0,           1,,           9,          28,         538,         120,         379,          39
1996,12,      20499,          49,           0,           3,,           4,          42,         549,         104,         404,          41
1997,12,      20719,          75,           0,           5,,          13,          57,         785,         150,         584,          51
1998,12,      23997,          49,           0,           3,,          20,          26,         727,         157,         512,          58
1999,12,      25504,          75,           0,           8,,          14,          53,         761,         119,         587,          55
2000,12,      29329,          59,           0,           3,,          20,          36,         812,         151,         626,          35
2001,12,      29443,          61,           1,           8,,          15,          37,         854,         154,         656,          44
2002,12,      29589,          56,           2,           6,,          21,          27,         874,         192,         635,          47
2003,12,      32438,          52,           1,           8,,          15,          28,       1064,         166,         843,          55
2004,12,      34303,          63,           0,           8,,          19,          36,         734,         160,         531,          43
2008,12,      39529,          96,           0,           7,,          38,          51,       1082,         270,         767,          45
2009,12,      39880,          59,           3,           3,,          17,          36,         877,         176,         669,          32
2010,12,      42938,          82,           1,          12,,          26,          43,         925,         166,         712,          47
2011,12,      43145,         103,           1,          19,,          20,          63,         902,         217,         630,          55
2012,12,      43860,          90,           0,           4,,          20,          66,       1068,         219,         805,          44
2013,12,      45540,         133,           2,,          17,          27,          87,       1200,         214,         947,          39
2014,12,      46441,         150,           2,,          11,          20,         117,         943,         151,         749,          43

		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
"Notes: When data are unavailable, the cells are blank or the year is not presented."



          Crime rates are not available for agencies that report data for less than 12 months of a year.


"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data"
Date of download: Nov 22 2018
