agency,year,state,population,ORI,male_employees_officers_rate_per_officer,female_employees_officers_rate_per_officer,total_employees_officers_rate_per_officer,male_employees_civilians_rate_per_officer,female_employees_civilians_rate_per_officer,total_employees_civilians_rate_per_officer,male_employees_total_rate_per_officer,female_employees_total_rate_per_officer,total_employees_total_rate_per_officer,officers_killed_by_felony_rate_per_officer,officers_killed_by_accident_rate_per_officer,assaults_with_injury_gun_rate_per_officer,assaults_with_injury_knife_rate_per_officer,assaults_with_injury_oth_weap_rate_per_officer,assaults_with_injury_unarmed_rate_per_officer,assaults_with_injury_total_rate_per_officer,assaults_no_injury_gun_rate_per_officer,assaults_no_injury_knife_rate_per_officer,assaults_no_injury_oth_weap_rate_per_officer,assaults_no_injury_unarmed_rate_per_officer,assaults_no_injury_total_rate_per_officer,ambush_total_assaults_rate_per_officer,oth_arrest_total_assaults_rate_per_officer,burglary_total_assaults_rate_per_officer,deranged_total_assaults_rate_per_officer,disturbance_total_assaults_rate_per_officer,prisoner_total_assaults_rate_per_officer,riot_total_assaults_rate_per_officer,robbery_total_assaults_rate_per_officer,susp_pers_total_assaults_rate_per_officer,traffic_total_assaults_rate_per_officer,all_other_total_assaults_rate_per_officer,total_assaults_total_rate_per_officer,total_assault_gun_rate_per_officer,total_assault_knife_rate_per_officer,total_assault_oth_weap_rate_per_officer,total_assault_unarmed_rate_per_officer,ambush_assault_gun_rate_per_officer,ambush_assault_knife_rate_per_officer,ambush_assault_oth_weap_rate_per_officer,ambush_assault_unarmed_rate_per_officer,oth_arrest_assault_gun_rate_per_officer,oth_arrest_assault_knife_rate_per_officer,oth_arrest_assault_oth_weap_rate_per_officer,oth_arrest_assault_unarmed_rate_per_officer,burglary_assault_gun_rate_per_officer,burglary_assault_knife_rate_per_officer,burglary_assault_oth_weap_rate_per_officer,burglary_assault_unarmed_rate_per_officer,deranged_assault_gun_rate_per_officer,deranged_assault_knife_rate_per_officer,deranged_assault_oth_weap_rate_per_officer,deranged_assault_unarmed_rate_per_officer,disturbance_assault_gun_rate_per_officer,disturbance_assault_knife_rate_per_officer,disturbance_assault_oth_weap_rate_per_officer,disturbance_assault_unarmed_rate_per_officer,prisoner_assault_gun_rate_per_officer,prisoner_assault_knife_rate_per_officer,prisoner_assault_oth_weap_rate_per_officer,prisoner_assault_unarmed_rate_per_officer,riot_assault_gun_rate_per_officer,riot_assault_knife_rate_per_officer,riot_assault_oth_weap_rate_per_officer,riot_assault_unarmed_rate_per_officer,robbery_assault_gun_rate_per_officer,robbery_assault_knife_rate_per_officer,robbery_assault_oth_weap_rate_per_officer,robbery_assault_unarmed_rate_per_officer,susp_pers_assault_gun_rate_per_officer,susp_pers_assault_knife_rate_per_officer,susp_pers_assault_oth_weap_rate_per_officer,susp_pers_assault_unarmed_rate_per_officer,traffic_assault_gun_rate_per_officer,traffic_assault_knife_rate_per_officer,traffic_assault_oth_weap_rate_per_officer,traffic_assault_unarmed_rate_per_officer,all_other_assault_gun_rate_per_officer,all_other_assault_knife_rate_per_officer,all_other_assault_oth_weap_rate_per_officer,all_other_assault_unarmed_rate_per_officer
Philadelphia Police Department,1970,Pennsylvania,1948609,PAPEP00,1.00,0.00,1.00,0.11,0.00,0.11,1.11,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1971,Pennsylvania,2015910,PAPEP00,0.99,0.01,1.00,0.08,0.05,0.13,1.07,0.05,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1972,Pennsylvania,1951890,PAPEP00,0.99,0.01,1.00,0.07,0.04,0.11,1.06,0.05,1.11,0.00,0.00,0.00,0.00,0.01,0.07,0.09,0.00,0.00,0.00,0.14,0.14,0.00,0.08,0.01,0.00,0.08,0.04,0.00,0.01,0.00,0.00,0.00,0.22,0.00,0.00,0.01,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1976,Pennsylvania,1916665,PAPEP00,0.98,0.02,1.00,0.07,0.04,0.11,1.05,0.06,1.11,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.00,0.00,0.01,0.20,0.22,0.00,0.06,0.00,0.00,0.13,0.03,0.00,0.00,0.02,0.02,0.02,0.28,0.00,0.01,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1977,Pennsylvania,1897706,PAPEP00,0.98,0.02,1.00,0.09,0.04,0.13,1.06,0.07,1.13,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.00,0.01,0.19,0.20,0.00,0.05,0.00,0.00,0.11,0.03,0.00,0.00,0.01,0.02,0.01,0.25,0.00,0.00,0.01,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1978,Pennsylvania,1885533,PAPEP00,0.97,0.03,1.00,0.08,0.04,0.13,1.06,0.07,1.13,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.00,0.15,0.16,0.00,0.03,0.00,0.00,0.11,0.03,0.00,0.00,0.01,0.01,0.01,0.21,0.00,0.00,0.01,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
Philadelphia Police Department,1979,Pennsylvania,1757368,PAPEP00,0.97,0.03,1.00,0.07,0.04,0.11,1.04,0.07,1.11,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.19,0.20,0.00,0.04,0.00,0.00,0.14,0.03,0.00,0.00,0.01,0.02,0.01,0.25,0.00,0.00,0.01,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1980,Pennsylvania,1681175,PAPEP00,0.97,0.03,1.00,0.07,0.04,0.12,1.04,0.08,1.12,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.00,0.00,0.16,0.17,0.00,0.04,0.00,0.00,0.11,0.03,0.00,0.00,0.01,0.02,0.01,0.22,0.00,0.00,0.01,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1981,Pennsylvania,1686834,PAPEP00,0.95,0.05,1.00,0.07,0.04,0.12,1.03,0.09,1.12,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.00,0.00,0.00,0.19,0.20,0.00,0.04,0.00,0.00,0.12,0.04,0.00,0.00,0.00,0.03,0.01,0.25,0.00,0.00,0.01,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1982,Pennsylvania,1687556,PAPEP00,0.94,0.06,1.00,0.08,0.05,0.12,1.02,0.11,1.12,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.01,0.00,0.00,0.21,0.23,0.00,0.05,0.01,0.00,0.12,0.04,0.00,0.01,0.01,0.03,0.02,0.28,0.01,0.00,0.01,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.02
Philadelphia Police Department,1983,Pennsylvania,1692364,PAPEP00,0.94,0.06,1.00,0.07,0.04,0.11,1.01,0.10,1.11,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.21,0.22,0.00,0.06,0.01,0.00,0.11,0.04,0.00,0.01,0.01,0.02,0.02,0.27,0.00,0.00,0.01,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02
Philadelphia Police Department,1984,Pennsylvania,1667545,PAPEP00,0.93,0.07,1.00,0.07,0.04,0.12,1.00,0.11,1.12,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.00,0.00,0.01,0.16,0.17,0.00,0.04,0.00,0.00,0.09,0.03,0.00,0.00,0.00,0.02,0.02,0.22,0.00,0.00,0.01,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02
Philadelphia Police Department,1985,Pennsylvania,1640102,PAPEP00,0.92,0.08,1.00,0.07,0.04,0.11,1.00,0.12,1.11,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.01,0.01,0.16,0.17,0.00,0.05,0.00,0.00,0.10,0.03,0.00,0.00,0.00,0.02,0.02,0.23,0.01,0.01,0.01,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.09,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1986,Pennsylvania,1645144,PAPEP00,0.91,0.09,1.00,0.07,0.05,0.11,0.98,0.14,1.11,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.00,0.00,0.12,0.14,0.00,0.02,0.01,0.00,0.08,0.02,0.00,0.00,0.01,0.02,0.03,0.19,0.01,0.00,0.01,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03
Philadelphia Police Department,1987,Pennsylvania,1649364,PAPEP00,0.89,0.11,1.00,0.07,0.06,0.13,0.97,0.16,1.13,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.01,0.00,0.01,0.14,0.15,0.00,0.03,0.01,0.00,0.09,0.02,0.00,0.00,0.01,0.02,0.03,0.20,0.01,0.00,0.01,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02
Philadelphia Police Department,1988,Pennsylvania,1657285,PAPEP00,0.88,0.12,1.00,0.08,0.07,0.14,0.96,0.19,1.14,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.13,0.13,0.00,0.03,0.00,0.00,0.08,0.01,0.00,0.00,0.01,0.02,0.02,0.19,0.00,0.00,0.01,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02
Philadelphia Police Department,1989,Pennsylvania,1652188,PAPEP00,0.86,0.14,1.00,0.08,0.07,0.15,0.94,0.21,1.15,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.00,0.00,0.10,0.11,0.00,0.03,0.00,0.00,0.06,0.01,0.00,0.00,0.01,0.02,0.02,0.16,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02
Philadelphia Police Department,1990,Pennsylvania,1585577,PAPEP00,0.85,0.15,1.00,0.07,0.07,0.14,0.92,0.22,1.14,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.01,0.00,0.01,0.16,0.18,0.00,0.04,0.01,0.00,0.11,0.02,0.00,0.01,0.02,0.03,0.03,0.25,0.01,0.00,0.01,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03
Philadelphia Police Department,1991,Pennsylvania,1596699,PAPEP00,0.84,0.16,1.00,0.07,0.07,0.14,0.91,0.22,1.14,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.00,0.01,0.12,0.14,0.00,0.03,0.00,0.00,0.08,0.01,0.00,0.01,0.01,0.02,0.02,0.19,0.01,0.00,0.01,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01
Philadelphia Police Department,1992,Pennsylvania,1603638,PAPEP00,0.84,0.16,1.00,0.07,0.07,0.14,0.91,0.23,1.14,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.00,0.01,0.09,0.12,0.00,0.03,0.00,0.00,0.07,0.01,0.00,0.00,0.02,0.02,0.01,0.17,0.01,0.00,0.01,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01
