agency,year,state,population,ORI,male_employees_officers_rate_per_officer,female_employees_officers_rate_per_officer,total_employees_officers_rate_per_officer,male_employees_civilians_rate_per_officer,female_employees_civilians_rate_per_officer,total_employees_civilians_rate_per_officer,male_employees_total_rate_per_officer,female_employees_total_rate_per_officer,total_employees_total_rate_per_officer,officers_killed_by_felony_rate_per_officer,officers_killed_by_accident_rate_per_officer,assaults_with_injury_gun_rate_per_officer,assaults_with_injury_knife_rate_per_officer,assaults_with_injury_oth_weap_rate_per_officer,assaults_with_injury_unarmed_rate_per_officer,assaults_with_injury_total_rate_per_officer,assaults_no_injury_gun_rate_per_officer,assaults_no_injury_knife_rate_per_officer,assaults_no_injury_oth_weap_rate_per_officer,assaults_no_injury_unarmed_rate_per_officer,assaults_no_injury_total_rate_per_officer,ambush_total_assaults_rate_per_officer,oth_arrest_total_assaults_rate_per_officer,burglary_total_assaults_rate_per_officer,deranged_total_assaults_rate_per_officer,disturbance_total_assaults_rate_per_officer,prisoner_total_assaults_rate_per_officer,riot_total_assaults_rate_per_officer,robbery_total_assaults_rate_per_officer,susp_pers_total_assaults_rate_per_officer,traffic_total_assaults_rate_per_officer,all_other_total_assaults_rate_per_officer,total_assaults_total_rate_per_officer,total_assault_gun_rate_per_officer,total_assault_knife_rate_per_officer,total_assault_oth_weap_rate_per_officer,total_assault_unarmed_rate_per_officer,ambush_assault_gun_rate_per_officer,ambush_assault_knife_rate_per_officer,ambush_assault_oth_weap_rate_per_officer,ambush_assault_unarmed_rate_per_officer,oth_arrest_assault_gun_rate_per_officer,oth_arrest_assault_knife_rate_per_officer,oth_arrest_assault_oth_weap_rate_per_officer,oth_arrest_assault_unarmed_rate_per_officer,burglary_assault_gun_rate_per_officer,burglary_assault_knife_rate_per_officer,burglary_assault_oth_weap_rate_per_officer,burglary_assault_unarmed_rate_per_officer,deranged_assault_gun_rate_per_officer,deranged_assault_knife_rate_per_officer,deranged_assault_oth_weap_rate_per_officer,deranged_assault_unarmed_rate_per_officer,disturbance_assault_gun_rate_per_officer,disturbance_assault_knife_rate_per_officer,disturbance_assault_oth_weap_rate_per_officer,disturbance_assault_unarmed_rate_per_officer,prisoner_assault_gun_rate_per_officer,prisoner_assault_knife_rate_per_officer,prisoner_assault_oth_weap_rate_per_officer,prisoner_assault_unarmed_rate_per_officer,riot_assault_gun_rate_per_officer,riot_assault_knife_rate_per_officer,riot_assault_oth_weap_rate_per_officer,riot_assault_unarmed_rate_per_officer,robbery_assault_gun_rate_per_officer,robbery_assault_knife_rate_per_officer,robbery_assault_oth_weap_rate_per_officer,robbery_assault_unarmed_rate_per_officer,susp_pers_assault_gun_rate_per_officer,susp_pers_assault_knife_rate_per_officer,susp_pers_assault_oth_weap_rate_per_officer,susp_pers_assault_unarmed_rate_per_officer,traffic_assault_gun_rate_per_officer,traffic_assault_knife_rate_per_officer,traffic_assault_oth_weap_rate_per_officer,traffic_assault_unarmed_rate_per_officer,all_other_assault_gun_rate_per_officer,all_other_assault_knife_rate_per_officer,all_other_assault_oth_weap_rate_per_officer,all_other_assault_unarmed_rate_per_officer
Philadelphia Police Department,1960,Pennsylvania,2002512,PAPEP00,1.00,0.00,1.00,0.10,0.00,0.10,1.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1961,Pennsylvania,2002512,PAPEP00,1.00,0.00,1.00,0.10,0.00,0.10,1.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1962,Pennsylvania,2014578,PAPEP00,1.00,0.00,1.00,0.10,0.00,0.10,1.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1963,Pennsylvania,1943129,PAPEP00,1.00,0.00,1.00,0.10,0.00,0.10,1.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1964,Pennsylvania,2053811,PAPEP00,1.00,0.00,1.00,0.12,0.00,0.12,1.12,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1965,Pennsylvania,2071e3,PAPEP00,1.00,0.00,1.00,0.09,0.00,0.09,1.09,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1966,Pennsylvania,2079700,PAPEP00,1.00,0.00,1.00,0.09,0.00,0.09,1.09,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1967,Pennsylvania,2062175,PAPEP00,1.00,0.00,1.00,0.09,0.00,0.09,1.09,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1968,Pennsylvania,2040985,PAPEP00,1.00,0.00,1.00,0.10,0.00,0.10,1.10,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philadelphia Police Department,1969,Pennsylvania,2032400,PAPEP00,1.00,0.00,1.00,0.11,0.00,0.11,1.11,0.00,1.11,0.00,0.00,0.00,0.00,0.01,0.16,0.17,0.00,0.00,0.01,0.07,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
