pa_section,pa_name,pa_statute,ucr_description,ucr_code_1,ucr_name_1,ucr_code_2,ucr_name_2,ucr_code_3,ucr_name_3,ucr_code_4,ucr_name_4,ucr_code_5,ucr_name_5,ucr_code_6,ucr_name_6,ucr_code_7,ucr_name_7,ucr_code_8,ucr_name_8
1001,runaway,SC,special code,290,runaways,,,,,,,,,,,,,,
1272,fireworks-sale prohibited/displays/permits,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1273,fireworks-bond requirement,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1275.1,fireworks-agriculture permits,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1276.1,fireworks-shipment/evidence of permit required,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
1276.2,fireworks-registration of displays for profit,FW,fireworks law,260,all other offenses (except traffic),,,,,,,,,,,,,,
2101 A,fail to display flag public mtgs,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A1,make flag for display/exhibition,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A2,expose mark/defile flag pubc view,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A3,mfr article w/flag for adv trade,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2102 A4,public/private mutilating flag,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2103,maliciously take down etc flag,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2500,suicide,SC,special code,999,suicide,,,,,,,,,,,,,,
2501 A,criminal homicide,CC,crimes code,01A,murder and nonnegligent manslaughter,01b,manslaughter by negligence,,,,,,,,,,,,
2502 A,murder of the first degree,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2502 B,murder of the second degree,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2502 C,murder of the third degree,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2503 A1,vol manslaught-provoc ind killed,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2503 A2,vol manslaught-provoc from other-negligence,CC,crimes code,01B,manslaughter by negligence,,,,,,,,,,,,,,
2503 B,vol manslaught-unr belief justfy,CC,crimes code,01A,murder and nonnegligent manslaughter,,,,,,,,,,,,,,
2504 A,involuntary manslaughter,CC,crimes code,01B,manslaughter by negligence,,,,,,,,,,,,,,
2505 A,causing suicide,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2505 B,aiding suicide,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2506 A,murder by delivery of drugs,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2603 A,criminal homicide of unborn child - in general,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2604 A1,murder of unborn child-first degree,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2604 B1,murder of unborn child-second degree,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2604 C1,murder of unborn child-third degree,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2605 A1,vol manslaughter of unborn child-mother,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2605 A2,vol manslaughter of unborn child-another,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2605 B,vol manslaughter of unborn child-unreas belief,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2606 A,aggravated assault of unborn child,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2701 A1,simple assault-general,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2701 A2,simple assault-bodily inj by neg w/deadly weapon,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2701 A3,simple assault-fear of serious inj,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04e,other assaults - not aggravated,,,,,,,,
2701 A4,simple assault - conceal needle and penetrate officer,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2702 A1,aggravated assault-general,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2702 A2,"aggravated assault-serious inj to police, etc",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2702 A3,"aggravated assault-inj to police, etc",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",04e,other assaults - not aggravated,,,,,,
2702 A4,aggravated assault-inj w/deadly weapon,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2702 A5,"aggravated assault-inj to teacher, student, etc",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",04e,other assaults - not aggravated,,,,,,
2702 A6,"aggravated assault-police, etc in fear of ser inj",CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2703,assault by prisoner,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2703.1,aggravated harassment by prisoner,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2704,assault by life prisoner,CC,crimes code,04A,assault firearm,04b,assault knife or cutting instrument,04c,assault other dangerous weapon,04d,"assault hands, fist, feet, etc.",,,,,,,,
2705,reckless endanger another person,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2706 A1,terroristic threats-general,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2706 A2,terroristic threats-cause evacuation,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2706 A3,terroristic threats-serious public inconvenience,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2707 A,propulsion/missle into occ veh,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2707 B,propulsion/missles onto roadway,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2707.1 A,discharge firearm into occupied structure,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2707.2 A1,paintball guns and markers - carrying in veh,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2708 A,tear gas agst person in labor dis,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2709 A1,harassment/physical strike kick,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2709 A2,harassment/follow about in pub,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2709 A3,harassment-course of conduct/acts serve no purpose,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2709 B1,stalking-fear of injury,CC,crimes code,04E,other assaults - not aggravated,04e,other assaults - not aggravated,240,disorderly conduct,,,,,,,,,,
2709 B2,stalking-substantial emotional distress,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2710 A,ethnic intimidation,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2712 A,assault on sports official,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2713 A1,neglect of care-dep person-fail to provide care,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2713 A2,"neglect of care-dep person-restraints, meds, isol",CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2714,unauth admin of intoxicant,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2715 A1,bomb threats - places/sets bomb,CC,crimes code,04C,assault other dangerous weapon,,,,,,,,,,,,,,
2715 A2,bomb threats - causes placement/setting of bomb,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2715 A3,bomb threats - reports w/o factual basis existance or,CC,crimes code,240,disorderly conduct,,,,,,,,,,,,,,
2715 A4,bomb threats - threatens placement/setting of bomb,CC,crimes code,04E,other assaults - not aggravated,,,,,,,,,,,,,,
2901 A1,kidnapping-ransom,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2901 A2,kidnapping-facilitate a felony,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2901 A3,kidnapping-inflict inj/terror,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2901 A4,kidnapping-interfere w/pub off,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2902 1,unlaw restraint-risk ser injury,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2902 2,unlaw restraint-invol servitude,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2903,false imprisonment,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2904 A,interfer with custody of childrn,CC,crimes code,200,offenses against family & children,,,,,,,,,,,,,,
2905 A,interfer custody committed person,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A1,crim coercion-threat to commit crime,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A2,crim coercion-threat to accuse of crime,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A3,crim coercion-threat to expose secret,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2906 A4,crim coercion-threat to take/withold official act,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
2907,disposition of ransom,CC,crimes code,260,all other offenses (except traffic),,,,,,,,,,,,,,
